00000000-0000-0000-0000-000000000000,ZeroGuid
00026AEB-F334-4C15-A7F0-E1E897E9FE91,NvmeRecovery
00160F8D-2B35-4DF2-BBE0-B272A8D631F0,FirmwarePerformanceDxe
0029DE6A-E024-4EB8-A91D-9F23AA1F4E92,NetworkStackSetupScreen
00364A4C-6A0A-4F08-8FFD-0937F3DBB13E,IdeBusBoard
0049858F-8CA7-4CCD-918B-D952CBF32975,VirtioFdtDxe
00504624-8A59-4EEB-BD0F-6B36E96128E0,FpNvStorage
0053D9D6-2659-4599-A26B-EF4536E631A9,ShellAliasGuid
0065D394-9951-4144-82A3-0AFC8579C251,EfiPeiRscHandlerPpiGuid
00720665-67EB-4A99-BAF7-D3C33A1C7CC9,EfiTcp4ServiceBindingProtocolGuid
00B46EC9-2712-486B-A6A4-E2933581C28B,HstiPlatformDxe
00C86DB8-013B-4FF4-B8E9-208F4FCF1C00,LibSignal
00CA959F-6CFA-4DB1-95BC-E46C47514390,EfiTlsProtocolGuid
00D6B14B-7DD0-4062-8821-E5F96A2A1B00,FspReservedMemoryResourceHobMiscGuid
00DBD91D-55E9-420F-9639-5E9F8437B44F,EfiExtendedSalStatusCodeServicesProtocolGuid
010216CD-9C09-4EB5-B7DA-D0A2865092D4,ProjectDXE
01359D99-9446-456D-ADA4-50A711C03ADA,CpuInitPei
01359D99-9446-456D-ADA4-50A711C03ADB,CpuPeim
0154DD51-9079-4A10-895C-9C0772815788,PlatformBootManagerStringPackGuid
01631791-F34E-4C0A-B15D-0B6CE22B27A8,TcgPeiAfterMem
0167CCC4-D0F7-4F21-A3EF-9E64B7CDCE8B,ScsiBus
0170F60C-1D40-4651-956D-F0BD9879D527,Virtio10
0174B2B5-F505-4B12-AA60-59DFF8D6EA37,ShellNetwork2HiiGuid
0182244E-F95D-43FC-91EC-60594EF47599,Lpc47m18xDxe
018A5C7A-12EB-429D-9DEF-6FCC410B04E8,IioCfgUpdateDxeLightningRidgeEXECB4
018E1925-D6A2-4A2A-8958-817610A15ADF,PeiS3LibNull
01D127EA-F6F1-4EF6-9415-8A000093F89D,UEfiCorebootPayloadPkgTokenSpaceGuid
01F34D25-4DE2-23AD-3FF3-36353FF323F1,EfiPeiPcdPpiGuid
020BC7C9-80E5-476D-B187-0FB754850CAB,PvnvramDxe
021722D8-522B-4079-852A-FE44C2C13F49,SataController
021BD2CA-51D2-11E3-8E56-B75417C70B44,UsbDeviceProtocolGuid
022218B8-FE5E-4EBC-BC96-74058A4E7E83,ErrorGlobeBorder
024DEE41-33E7-11D3-9D69-0008C781F39F,EfiPartTypeLegacyMbrGuid
025BBFC7-E6A9-4B8B-82AD-6815A1AEAF4A,MnpDxe
025F738B-4EBD-4D55-B728-5F421B601F1F,PlatformInfoDxe
025F738B-4EBD-4D55-B728-5F421B601F20,PlatformCpuInfoDxe
0284F846-2CB7-4960-8DB2-47AA71513AD5,menu_selection
02B01AD5-7E59-43E8-A6D8-238180613A5A,EmuVariableRuntimeDxe
02BD55C2-AB1D-4B75-B0FD-9A63AE09B31D,BaseMemoryLibOptDxe
02CE967A-DD7E-4FFC-9EE7-810CF0470880,EfiEndOfDxeEventGroupGuid
